Region,Text,Standard_Bangla
Chittagong,চিটাঙ্গ আঁরার জান,চট্টগ্রাম আমাদের প্রাণ।
Chittagong,চিটাঙ্গর ঐতিহ্য তুলি ধরা আঁরার হাম,চট্টগ্রামের ঐতিহ্য তুলে ধরা আমাদের কাজ।
Chittagong,হতাই আছে,হওয়া উচিত।
Chittagong,চিটাইঙ্গে ফুয়া মেডিত ফরিলি লুয়া,চট্টগ্রামের ছেলে মাটিতে পড়লে লোহা হয়ে যায়।
Chittagong,দশে মিলি করি কাজ হারি জিতি নাহি লাজ,"দশজনে মিলে কাজ করি, হার-জিত নিয়ে লজ্জা নেই।"
Chittagong,আঁরা দশ জনে মিলি সামনে আগাই লই যাইয়ুম,আমরা দশজনে মিলে সামনে এগিয়ে যাব।
Chittagong,আশাগরি অনোরা আঁরার সাথে থাকিবেন,আশা করি আপনারা আমাদের সাথে থাকবেন।
Chittagong,আঁরাঁর চিঁটাঁইংঁগাঁ মাঁনুঁষঁর হঁলিঁজাঁ ইঁয়েঁনঁ এঁত্তঁবঁড়ঁ,আমাদের চট্টগ্রামের মানুষের হৃদয় অনেক বড়।
Chittagong,আজিয়ে পিডে ফুড়িবের দায়িত্ব হনে হনে লইয়ু?,আজ কি বেড়াতে যাওয়ার দায়িত্ব নেবে?
Chittagong,"করোনা ন যায়গুই, আঁরা করোনারে ভুলি যাইরদি","করোনা যায়নি, আমরা করোনাকে ভুলে গেছি।"
Chittagong,ঘরত্তুঁন বাইর অইবের সমত মাস্ক ফড়ন,ঘরের বাইরে গেলে মাস্ক পরুন।
Chittagong,বাইরেত্তুঁন ঘরত আয়লি আগে ভালা গরি হাত-মুখ ধুই ফেলন,বাইরে থেকে ঘরে এলে আগে ভালোভাবে হাত-মুখ ধুয়ে ফেলুন।
Chittagong,"রাস্তা ঘাডে, ইঁয়েঁনঁ মাইনশ্যুর হ্যান্ডশেক-আজাআজি গরনত্তুঁন বিরত তাহোন",রাস্তাঘাটে পরিচিত বা অপরিচিত মানুষের সঙ্গে হাত মেলানো থেকে বিরত থাকুন।
Chittagong,নিজে সচেতন তাহি নিরাফদে তাহোন,নিজে সচেতন থাকুন এবং নিরাপদে থাকুন।
Chittagong,"মনত রাইক্কুন, সামাইন্যু অবহেলায় নিজুরে ত মা-বাফোরেও জীবনর ঝুঁকিত ফেলাইবেন","মনে রাখুন, সামান্য অবহেলায় নিজের ও পরিবারের জীবন ঝুঁকিতে ফেলবেন না।"
Chittagong,"সো, সমঅ থাইকতে সচেতন অওন",তাই সময় থাকতে সচেতন হোন।
Chittagong,চাটগাঁইয়া এক্সপ্রেস গ্রুপওঁত স্বাগতম,চাটগাঁইয়া এক্সপ্রেস গ্রুপে স্বাগতম।
Chittagong,ইবে বেয়াজ্ঞুনুত্তুন গ্রুপওঁত চাটগাঁইয়া ভাষা গরন ফরিবু,এখন থেকে এই গ্রুপে চাটগাঁইয়া ভাষা ব্যবহার করা হবে।
Chittagong,"যত হতা, চিটাংঅঁর ঐতিহ্য, মসকারি, ধর্মীয় বিষয় পোস্ট গরিবেন","চট্টগ্রামের ঐতিহ্য, সংস্কৃতি ও ধর্মীয় বিষয় নিয়ে পোস্ট করতে পারবেন।"
Chittagong,তয় হতা অইলদি চাটগাঁইয়া ভাষাত গরিবেন,তবে তা চাটগাঁইয়া ভাষায় করতে হবে।
Chittagong,আর ইবাদত গরনর ফরে সৃষ্টিকর্তারে ভুলি যিয়েন না,ইবাদত করার সময় সৃষ্টিকর্তাকে ভুলবেন না।
Chittagong,গ্রুপুত পোস্ট গরিবের নিয়ুম,গ্রুপে পোস্ট করার নিয়ম।
Chittagong,চিটাইঙ্গে অক্কল চিটাইঙ্গে ভাষাত পোস্ট গরন ফরিবু,সবাই চাটগাঁইয়া ভাষায় পোস্ট করবেন।
Chittagong,অন্য জেলার মানুষ সাধু ভাষাত লেহন ফরিবু,অন্য জেলার মানুষ প্রমিত বাংলায় লিখতে পারবেন।
Chittagong,তয় জাগার নাম লেহি দিবু নিচুদি,তবে নিজের এলাকার নাম উল্লেখ করবেন।
Chittagong,এক লাইন্নে পোস্ট ন দিবেন,এক লাইনের পোস্ট দেবেন না।
Chittagong,"রক্তর পোস্ট, বেশি জরুরি পোস্ট গরিবেন",জরুরি প্রয়োজনে পোস্ট করতে পারবেন।
Chittagong,কিন্তু আর বেয়াজ্ঞিন চাটগাঁইয়া ভাষা ব্যবহার গরিবেন,তবে অন্যান্য ক্ষেত্রে চাটগাঁইয়া ভাষা ব্যবহার করবেন।
Chittagong,"আঁরা চিটাইঙ্গে ইয়েঁন আঁরার গর্ব, ইয়েনর অহংকার",চাটগাঁইয়া ভাষা আমাদের গর্ব ও অহংকার।
Chittagong,আঁরার আসল লক্ষ্য সোশ্যাল মিডিয়ায় চাটগাঁইয়া ভাষার চর্চা বৃদ্ধি করা,আমাদের মূল লক্ষ্য সামাজিক মাধ্যমে চাটগাঁইয়া ভাষার চর্চা বৃদ্ধি করা।
Noakhali,Noakhali Dialect Sentence,Standard Bangla
Noakhali,কতা কঅন বাবু,কথা বলুন বাবু।
Noakhali,"ও বাবু, আর কদিন এন্নে চইলবো ?","ও বাবু, আর কতদিন এভাবে চলবে?"
Noakhali,হতম হতম আন্নেরা বাড়ি টোয়াই গেছেন,শেষ পর্যন্ত তারা বাড়ি ফিরে গেছেন।
Noakhali,চাল ডাইল দিই হটঅ তুলি আইনচেন,চাল-ডাল সংগ্রহ করে এনেছেন।
Noakhali,নিজের হটঅ হত্রিকাত দেই কি ভালা যে লাইগযিল,নিজের পুরনো হারিকেনটি দেখে খুব ভালো লাগল।
Noakhali,রাম্যাত্তুন খুঁজি হত্রিকা এক্কান বাইত নিচিলাম,অনেক খুঁজে একটি হারিকেন ঘরে নিয়ে এলাম।
Noakhali,হেগুনের মা'র আতে দিই দেখাইছি যঅন,সেগুলো মায়ের হাতে দিয়ে দেখিয়েছিলাম যখন।
Noakhali,ব্যেগ্গুনের কি আঁসি !,এগুলোর কী অবস্থা!
